text,vader_sentiment,vader_sentiment_label,
"no work today! went shopping, and now relaxing  &learning for the toefl",0.3164,Positive,
Is off to watch arsenal v chelsea today,0,Neutral,
He`s getting ear tubes in about an hour so no food,-0.4341,Negative,
 yay asap lol awwh I miss our friday night happy hours even luna del sea and the 'boy' hahahaha,0.8519,Positive,
left the bases loaded...,0,Neutral,
 Cowboy westerns...haven`t seen those in a while. good luck,0.7096,Positive,
 It`s already over? ****!,0,Neutral,
 I was trying to back all her documents up but it wasn`t playing along. its taking forever but am back at it again now,0.296,Positive,
Doing some test shooting later this afternoon.  Did I mention being in Holland for an indie wine festival this week? My tongue is red.,0.4939,Positive,
My dad knows i got drunk today. And i didnt get in trouble.,-0.0366,Negative,
" so i`ll excuse your love for the Cavs and the west, even though I don`t share it!",0.8058,Positive,
" Lol - I could try!  Seriously tho, dont do all of it! That sucks! ****",-0.3129,Negative,
 **** i wanna see the rest!! i only saw like 30 minutes,0.4738,Positive,
Happy mothers day mom!!!  i love you.,0.8682,Positive,
"burning cd`s,,,,,,,,, **** outa blank disc`s",0,Neutral,
" new album is truly genius, so happy with it",0.7841,Positive,
 you`re alive!!!!!!  Go w/ The Notebook...it`ll make you cry and stuff,-0.6449,Negative,
 Okaii Cool!  I Can`t Wait For The Series To Begin It`s Guna Be Awesome  x,0.7712,Positive,
crying to A Walk To Remember as usual,-0.4767,Negative,
i only hav 8 followers                 !,0,Neutral,
happy star wars day everyone  off to celebrate with the family... ok we`re not celebrating it but i am going round to the famo`s...,0.2502,Positive,
"I also have a certain CD from camp that a certain somebody gave me...  Yeah, there`s this guy in the video that`s really frickin hot!",0.69,Positive,
IT`S MOTHER`S DAY,0,Neutral,
Yay for birthdays  sadly my voice is almost gone :/ but it was a pretty good night!,0.8474,Positive,
"we finally hit 1,000 friends! thanks!",0.7639,Positive,
 I`m part of a religion called People-With-Good-Taste-In-Music. We don`t celebrate Jonas Brothers Day.,0.5719,Positive,
I`m at work....bored out of my mind.,0,Neutral,
watching the notebook,0,Neutral,
 Yes because those taxes disguise the booking fees and commissions that online travel portals charge. Try iXiGO.com next time,0.1779,Positive,
"twitters gettin a lil bit confusin... twitterific?twitdroid?twitterberry? i understant the txt bit tho lol  ah well, twitters cool anyways",0.7744,Positive,
Finally sleep time,0,Neutral,
 http://twitpic.com/4l85a - best kind of gum ever! I just bought a pack,0.6696,Positive,
The Heater blew up,0,Neutral,
 i tried. and failed,-0.5106,Negative,
"  just finished mine, some parts were remarkably difficult  cramming kanji now!",-0.474,Negative,
why is everyones tweets about britains got talent?! i feel left out,0,Neutral,
yay mothers day  i love mi madre,0.8225,Positive,
They wouldn`t reverse any of my overdraft fees.,0,Neutral,
_N9ne I`m not having a good day,-0.3412,Negative,
i miss the Soulja Boy dance...,-0.1531,Negative,
"I woke up an came to the realization that I can put it off as much as I want, but I need 2 drop some friends. Dammit!",0.4482,Positive,
11 Days left until freedom. I really just want to get through this weekend. I hate essays.,0.2682,Positive,
  lol you guys are awesome,0.7845,Positive,
"Home, good night world",0.4404,Positive,
" http://twitpic.com/4vtlm - awww, she is really cute",0.5095,Positive,
got alot of runnin around to do today to get this job app completed so they can have it on file... so glad i got this job!!,0.6652,Positive,
lappy charger is completely dead... conserving what`s left of the battery until i can afford to buy a new one,0,Neutral,
" well, i must say she is very lucky to have you! i guess that means no chillin and concert with me huh",0.5081,Positive,
Happy Mother`s Day all of the mom`s around the world!  I love mine more than anything in the world and can`t wait to celebrate! WOO!,0.9539,Positive,
I put a real pic of myself up. I`m going to miss the avatar.,-0.1531,Negative,
doing my folio work but keep on getting distracted by deb pics,-0.4767,Negative,
sad that borders did not have guerrilla gardening book but otherwise a most lovely relaxing day,0.8836,Positive,
I can`t sleep. I can`t find my grandmother`s quilt or locket. I`m sick at myself cause I may have lost them somehow. Or they were stolen,-0.8316,Negative,
Had to take my bad **** dog to the pet hotel....so sad,-0.765,Negative,
about to hit the sheets.,0,Neutral,
"I wish i had my iPod , i need some jonas . I miss their sexy voices  JB forever !",0.6996,Positive,
watching Gilmore Girls reruns!! Don`t know what else to do for the day,0,Neutral,
"Wow, its hot and miserable. People are probably killing themselves right about now...",-0.5859,Negative,
 Thanks mama ! I absolutely adore her,0.7955,Positive,
" ohh snapp, have fun",0.5106,Positive,
Sitting waiting for an exam to start,0,Neutral,
 I don`t think I`ve ever tried peanut butter on toast,0,Neutral,
" i would but he`s premiering avatar footage and can`t do it then. also, we better hang out.",0.5927,Positive,
Home from Chelsea`s  Jam sessions = <3 = Chelsea + Abby = I luh you.,0.4404,Positive,
we`ll be visiting my grandparents later. BTW i just heard katy perry`s HOOK UP whew so cool i love it more than k.clarkson`s version,0.8161,Positive,
"  very sweet!!! HAHA. I am like super proud to be a new mom!!! I feel like, i got the PERFECT daughter. And i am a GREAT mom!!!",0.9845,Positive,
gosh im bored. its early..n i wanna go..to sleeeepp why am i at work?  *kay<3*,-0.2732,Negative,
 I`m sure she`ll be fine. They`re not as daft as they look (sometime),0.4767,Positive,
HA! I`d give Kristen plenty of free hugs! *sigh* if only I could,0.8811,Positive,
" And, yes. I <3 mac, if only it weren`t so expensive",0.6808,Positive,
 I hate cottage cheese.  I even got some fancy stuff last weekend with lemon and berries...I could only eat half of it.,-0.5719,Negative,
  link isn`t working,0,Neutral,
I just need to go to the bank,0,Neutral,
" you should come to Estonia, I know some epic horses here, hehe, and a good trainer and good beaches were to ride!",0.7263,Positive,
_jonas101 WOW they`re totally amazing and they`re more than awesome,0.9326,Positive,
Just got laid off  stupid economy!,-0.5707,Negative,
http://twitpic.com/67i90 - My plans have been ruined,-0.4767,Negative,
"nothing better than to have your Grandaughter smile and nothing feels better than that big hug!! Grandkids, what a hoot!",0.3948,Positive,
`Wake Up Darling`,0,Neutral,
 oh I know. and I aprreciate it  it can be my back up plan,0,Neutral,
" Yes, I would love some more cowbell!",0.8016,Positive,
 Umm don`t ya mean ship,0,Neutral,
i really wanna go to australia and england.,0,Neutral,
"I just slept that entire flight, and woke up to the fact that the girl beside me had been watching Chitty Chitty Bang Bang!",0,Neutral,
just had a gym sesh.,0,Neutral,
Trying to get to sleep but mum is blaring Les Mis really loudly in the sitting room,0,Neutral,
"Don`t think I`m gonna be able to go to see the JB 3D Concert...wrong time, no where very close by",-0.296,Negative,
"I`m a sad panda, hulu doesn`t have the elephant show   no Skinnamarinkydinkydink sing alongs for me.",-0.6486,Negative,
 what`s up? what happened? DM me if you need to. TXT on my phone is defunk`d,0,Neutral,
is 500 words into a 10 minute speech on 80s teen movies. due wednesday. blah blah. can`t wait for the glenn ball!,-0.2714,Negative,
I`m gonna cry    I went bad at my History test ! I really hate History  !,-0.9038,Negative,
"just got up, couldn`t sleep anymore i guess and im not really gonna go back to bed, im not really sleepy",0,Neutral,
Going to work,0,Neutral,
 i agree with the whole Hollie thing,0.3612,Positive,
_ Truetrue  But he`s not! xD,-0.6597,Negative,
"Sad I missed  going away party due to too much work, but I really am gonna miss that kid",-0.4759,Negative,
I`ve come to the conclusion that lemongrass chicken tastes like lysol -  so much for lunch!,0.4199,Positive,
One of the most random phone calls ever. My god kill me now.,-0.5574,Negative,
& more #<3criminy cuteness! http://tinyurl.com/cd8yab #sinfest,0.5954,Positive,
"the neighborhood gas station is gone, kaput, out of business. No more convenient trips for ice or whatevs. over 3 miles now to travel..",-0.296,Negative,
tomorrow`s mother`s day  me n my sis gonna make an onigiri for our mom~!! its gonna be so kewl!! cant wait for tomorrow >_<,0.6321,Positive,
it makes me sad when people phones are sick,-0.7506,Negative,
taking care of sick children,-0.0258,Negative,
 welcome to my life,0.4588,Positive,
" Same here - events + writing songs. But I just finished my TMNT vs MMPR song, so I`m excited to record that on Wednesday",0.545,Positive,
 yup! way to **** early and I`m already at work,0,Neutral,
 oh sweet! I`ll definitely check it out when I get the chance...,0.7177,Positive,
 Youuuu`re an aaass  my aaass loooool,0,Neutral,
"I want to ride my bicycle today, but it`s too cold and cloudy today",0.0387,Positive,
 important person?  who?,0.2869,Positive,
" That`s not what  said  I like you, too, though.  is going steady with , though.....",-0.2755,Negative,
" Thank you! One day at a time, right?",0.4199,Positive,
" I missed mine, too. Not fun...",-0.296,Negative,
via : Found #geocache Head`s Up! http://coord.info/gc1ret6. Probably my only find of the day.  http://bit.ly/JS3S4,0,Neutral,
let me dream about my spock now goodnight,0.25,Positive,
_e thanks for following me. Nice to meet you,0.6908,Positive,
Danny cut his beautiful curls,0.4215,Positive,
God is so good!!,0.7075,Positive,
forcing myself to watch the movie 1984 for my book report  im lazy to read,-0.3612,Negative,
" thanks amy, its full of hotness",0.4404,Positive,
 don`t think i can take a needle. watched a horribly gory short film on drugs a few months ago. i`m scarred for life.,-0.5267,Negative,
Just finished watching the last of Star Wars,-0.5574,Negative,
Thanks    ? http://blip.fm/~5z6n8,0.4404,Positive,
can`t be arsed to get out of bed  hello sunshine,0.4939,Positive,
Every pair of jeans I own nowadays is very tight.  I think mah butt gettin big (oh!),0,Neutral,
I bought two tops and a scarf yesterday...sister has successfully hijacked them this morning to wear to breakfast (after removing tags),0.7579,Positive,
" btw, do you realize your profile pic makes you look much older than you say you are?",0,Neutral,
" Aw, sorry E. :/ I hope it looks up for you (lame ear) And there`s always next year! ****. Lamer ear :/ Fail. Uhh..Love ya E!",-0.8264,Negative,
 tiny.cc doesn`t seem to load for me  I was thinking on going to the batting cages but apparently you gotta book in adv,0,Neutral,
 Cheese and Onion! Vinegar taste weird on crisps! England`s got loads of weird crisps flavorus  lol.. What do you like ? x,0.1739,Positive,
 Thank yooou! I might have to get it seen to... hm...  ****,0.4199,Positive,
Ohh grandpas.. Stable.. Won`t kno all details til tomorrow when I visit... Keep him me and my fam in ur prayers..thank you  ... Goodnite,0,Neutral,
Sore throat. This is not good. I have four performances this weekend.,-0.6002,Negative,
 it because your handwriting isnt on any of them. and everyone is making fun of me because im sitting by myseld in the lrc,0.5106,Positive,
So disappointed about the talent lineup for 'ReventÃ¯Â¿Â½n Super Estrella 2009'...hmm...Have the feeling I won`t get tix this time around.,0.5868,Positive,
This is for all of you ppl! The 1 year Anniversary Video. http://is.gd/ysbs more to come after the break,0,Neutral,
" can I come!?   I`m Merci btw., I have always been so inspired by you since I was a teenager.",0.6606,Positive,
 how crappy for him,-0.5574,Negative,
its freezing cold! i cant function right in this type of weather. starving to the max,-0.5411,Negative,
Anyone ever had that heavy feeling of sadness in their hearts? Thats my case rite now.,-0.34,Negative,
 haha! sorry to hear that,0.4574,Positive,
_k_2k - Y!360 closing? get out!,0,Neutral,
" He`s too old school for burnouts. Just a lap around the track, like they used to.  #NASCAR",0.3612,Positive,
Hannah slept here last night  just gave her her 5:00 AM bottle and she went right back to sleep but I`m up! lol,0.6114,Positive,
" aww if I could, I would...  GBY ;)",0.2263,Positive,
I ate too many kisses.,0.5106,Positive,
 Thanks for the warning. Good thing my heart is unbreakable.,0.5267,Positive,
"Everyone At My Place Tomorrow  Bonfire, Tofu Dogs, And Austin Powers.",0,Neutral,
 ... like you`re stuff!  Strange voicemails! http://bit.ly/yKxms,0.3147,Positive,
 Well done! Happy for ya.,0.7263,Positive,
 oks  yes infact we had chatted earlier on n00b.in as well,0.5859,Positive,
 And you as well bro,0.2732,Positive,
 im sorry  i wish that i was there instead (it would give you a good excuse to get away from him) hehe...i love you <3,0.9136,Positive,
"True to form, Bank Holiday Monday looks like it might be rainy. Hope it holds off til later, family&friends plan walk and picnic today",0.8625,Positive,
 how do you call that number from the UK ??  I really want to call u but I don`t know how to  xxxxxx,0.2039,Positive,
Thinks FML should changed to LML (love my life),0,Neutral,
"Ha,  i`m giving spymaster a chance - just curious! will miss u",0.7777,Positive,
" Ah, I thought management fiat was your own fiat  Oh well... And... Shripriya (or Shri if one must shorten it).",0,Neutral,
"Loves the 2nd half of even days, orch and jazz band with daddy",0.5719,Positive,
is tired. And turning off the Internet. You can play on it in the morning.,-0.128,Negative,
Watching WALL-E.....it`s so cute but sad,-0.4788,Negative,
happy star wars day,0.0258,Positive,
Just got notified my podcast was accepted into iTunes. http://budurl.com/SBit Of course I then realized it was miss formated  Fixed now.,0.128,Positive,
Heyy.thnxx.or.inviting.me.to.ur.party.rob.ill.be.down.there.on.june.24th.ill.miss.u.when.u.go.to.italy....   <333333333 txt.me.hon!!!,0,Neutral,
is tired of summer already,-0.4404,Negative,
"There mite be a article in the trib bout portia, keep an eye out for it.",0,Neutral,
 I`ve given up on pizza - kids would never let me have my fav  (the hot ones),0.4588,Positive,
im hangin out with my cousin holly and tlkin 2 my grandparents.......  my phone went dead,-0.6486,Negative,
 Thats great,0.6249,Positive,
Princess Sakura is MINE  therefor i want to use it on TJ! grr,0.1511,Positive,
i wish i could teach my dog how to play xbox!  alas...no thumbs,0.6588,Positive,
Cleaning out my room and found this... http://yfrog.com/0t2b6j   she took me to 2w2v and insisted on paying for my ticket.,0,Neutral,
 thanks! I`m totally bushed today though time for some coding,0.4926,Positive,
still making icons,0,Neutral,
"gonna go 2 bed now, night tweeters  , dont think about me when you sleep ;) hahah nite all",0.2263,Positive,
Waiting for my turn on wii fit gym closed,0.3612,Positive,
Omg!!! Is this the sun glimpsing through the clouds?! Woohoo!,0.6671,Positive,
" haha yea, i just feel like its being taken the wrong direction, used to be a cool place, now its a mess",0.296,Positive,
 shes must be a truly amazing woman for having a phenomenal son..,0.7717,Positive,
 very nice...i cleared my head,0.1725,Positive,
" I think it`ll be more like a casual attendance instead of a review, as there might not be another issue of felix by then.  Thanks.",0.7764,Positive,
" Your pic didn`t show up for me  Boo!!!! All the other pics on that site show up, but not yours",0,Neutral,
"baby i need you , right here , right now",0,Neutral,
" umm get ready, help my mum, give GJ his presents when he gets up (could be a while), wait for people to arrive, then party",0.8918,Positive,
 together,0,Neutral,
http://twitpic.com/4wuaq - another prof pic.,0,Neutral,
Happy Mother`s Day mom,0.5719,Positive,
 http://twitpic.com/4vw9a - I`m not gonna buy one...nor two... But three! I will be the ultimate slaughter machine!,0,Neutral,
#asylm yay registered but lost all my friends,0.5267,Positive,
"church bellss are ringin  got to go. adieu,(god bless in german)",0.4215,Positive,
Still feel like craaaap and like everyone on earth needs to know this lol... Have fun birdies,0.8074,Positive,
 watching dor on utv movies again great performance,0.6249,Positive,
did U watch the spelling bee contest ? winner: Kavya Shivshankar ! Impressive performance - i had not even heared most of the words b4,0.8122,Positive,
 probably not in this weather,0,Neutral,
some relaxation. so much things on my list... but really not that much,0.296,Positive,
....got your message!!! You are such a twitter freak!,-0.6209,Negative,
 no wonder you hate driving and country roads and stuff,-0.7096,Negative,
heading out to (a long)band practice. last one before our first show on Saturday night. Hope it`s a good one  http://digg.com/u12MIW,0.7003,Positive,
says HAPPY MOTHER`S DAY TO ALL THE MOMS OUT THERE!  http://plurk.com/p/stezd,0.6932,Positive,
 sorry to hear your news,-0.0772,Negative,
" I`ve been there.  The only place I have flown out of since moving up north. Really pretty area for flying, but very expensive",0.3064,Positive,
sad.. Daniel is leaving Florida now.. just gave him a big hug,0.4767,Positive,
it`s mother`s day...i already bought and gave my mother`s day present to my mother.,0,Neutral,
Best friend is leaving to go back to school today..I am so sad,0.5281,Positive,
" hey, what about us followers in ATL!!!!",0,Neutral,
11:11 pm Perrrfect universal alignment.    <33,0,Neutral,
has a new nick name - arosh ..i like i like,0.6124,Positive,
i was so bored i decided to iron all my baju sklh. thn i realized i hate doing tht. so all i did was iron a sleeve HAHAHA. im off to schl,-0.1926,Negative,
 No Trump casino in Vegas.,-0.296,Negative,
"_jimski .....in my book, yes",0.4019,Positive,
 ilooked in my phone book and ur name was the first to show and i was like i got ti-ti number but it was just ur email,0.2263,Positive,
asks for karma points please.  http://plurk.com/p/wxnt9,0.3182,Positive,
 Will do,0,Neutral,
OFFICIALLY booked for seattle with  and  it`s going to be THE best birthday weekend EVER!   :you made me sad,0.3382,Positive,
_carter THE LINK DOESNT WORK,0,Neutral,
"_M Awww, our Mother`s day has been and gone :o(.  No work today, off out witht he camera in a little while, hopefully",0.0571,Positive,
 i guess you get loads of emails & people asking you stuff al the time but i seriously wonder if you ever read my comments  x,-0.2617,Negative,
Up late with nothin 2 do.....,0,Neutral,
Ahh... I love Chinese music. Haha.  Not gonna see my luff til Thursday...,0.802,Positive,
People are people...nooooo? Id never have guessed tht...idiot..im grouchy now,-0.4404,Negative,
 i see you hannah klein!. lookin good today,0.4926,Positive,
aha _marie my brother`s wallpaper on his phone is Dolly The Sheep  aha i`m loling.,0,Neutral,
 it`s saying that it is the wrong link-it cannot find the address.,-0.4767,Negative,
  I know... kittie should be a professional....,0,Neutral,
Sending blessings out to ,0.5423,Positive,
 ahh ok! Enjoy! I`ll miss it,0.658,Positive,
"So tonights TV viewing, BGT or HIGNFY and Reggie Perrin? Wont be tweeting however as  MiniC has hidden iPod",0,Neutral,
Mudweight hauled in for last time by   http://yfrog.com/0zr2jqj,0,Neutral,
has dislocated her knee  *bad/painful times* gas + air and morphine are fun though,0.5106,Positive,
"i cant believes its already Monday, the weekend went by soooo fast, keeping my fingers crossed that will too",0,Neutral,
"Barack Obama is a legend, just watched his dinner speach, it was pretty funny",0.7269,Positive,
I got whooped by Jason Bradbury. Ace :0,0,Neutral,
 Ouch. I won`t be down in Miami tomorrow morning. That sucks  It`s a cruise? Are you driving back the next Saturday?,-0.4329,Negative,
sadd..  last night in fl.. going back to AR tomorrow,0,Neutral,
"according to mary chaayaa, i look like a sexy emo in my dp  i not emo.",0.7096,Positive,
 sounds awesome..,0,Neutral,
 well you are a tricky one so I would say 6.5,0.128,Positive,
 no. my school will start on June1.  two days to go. i still don`t want. :l,-0.5574,Negative,
 Still no Internet today,-0.296,Negative,
"Tbh having no credit in your phone sux. i cant even text people to see what`s happening, like its totally grrrsville",0.1027,Positive,
gahhhh homework. masterchef in half an hour! hahah and the recruits,0,Neutral,
This month was a bad month to try and get an advert together for Kobold Quarterly,-0.5423,Negative,
 I`m concerned for that family,0,Neutral,
Idk i cant do ****,-0.1027,Negative,
only gets spam in her college email account now. What a way to rub in graduation.,-0.3612,Negative,
 I`m very much in tune with your words today. Thanks.,0.4404,Positive,
 how are you gonna get them? I got bitten,0,Neutral,
" I`m so sad I missed your calling time, I got home from practice too late",-0.707,Negative,
 im jealous.  im slaving away at the store and youre chilling on the boat.,-0.4767,Negative,
  we get so bored with routine.. lol!,0.0902,Positive,
What does 'drink responsibly' mean to you? Please share a tip (or two if you`re drunk right now  ),0.2732,Positive,
I got up early to pay bills. I figured its like a bandaid if I get it over quickly it won`t be so bad... I was wrong,-0.3102,Negative,
" ooh, work im afarid  looking forward to a sunny weekeknd tho!!!",0.5684,Positive,
Watch Lowkey freestyling (and selling his mixtape  on http://tinyurl.com/dev4xh and performing in Norwich tonight,0,Neutral,
I feel sorry for my bestie  good luck ali!,0.7088,Positive,
  I need one of these! Was just thinking about it earlier today as I downloaded pictures via USB.  #evernote_eyefi,0,Neutral,
putting 3 new consultants to work this week. it`s a good feeling!  congrats on your offers,0.7959,Positive,
Oh gosh how I want the party to be over and done with already.,0.4588,Positive,
Ive totally not got that job  i can just tell.,0,Neutral,
Just snappy`s delivered some tea and ice cream. I love my sister.,0.6369,Positive,
 eek can`t wait to see it!! as well as everyone elses. gahh i don`t know what i want  lol,0.6988,Positive,
FRIDAY so freakin happy today was an annoying day  buuut WEEKEND! TGIF<3,0.3758,Positive,
 YEP  it`ll be awesome to the max =] haha,0.9124,Positive,
"_ Heading off to Poole around 4ish,  has some serious gardening to do before we go, no Tweetdeck til Sunday evening,",-0.3612,Negative,
too sick for rigging tomorrow.,-0.5106,Negative,
Have to go to the dreaded DMV tomorrow,-0.5719,Negative,
"Is on her way to nottingham! ICOF tonight, then no more gigs umtil download. Fail",-0.7177,Negative,
 How are you?,0,Neutral,
 - That Jasper clip is my first 'favorite' Twitter message.,0,Neutral,
 Hey! r u back in La right now?What was ur favorite part bout Europe? I`ve never been out of the country xcept Canada  XO Jenna,0.565,Positive,
@_handz_ it was quiet.... unfortunatly but what the hell it`s good the chill out too right?,-0.5499,Negative,
 I wish I could have time for my xbox  project all tied,0.4019,Positive,
  your right.... How was your trip,0,Neutral,
_ember yay! thanks.  cover-i sad ang alist please. ),0.6996,Positive,
 Yay I love it when you host Money For Breakfast Jenna Lee  4hrs of you the amazing and so pretty and sexy Jenna Lee yay.,0.9718,Positive,
Gutted. The kitchen is empty literally EMPTY. No even kidding. I`m so hungry,-0.6289,Negative,
"  Darn, I thought you meant White Sox.",0,Neutral,
_jtv WHAT! I was only gone for 30 minutes and you`re already showing boobage without me?,0,Neutral,
"  I just got through doing my work now I can take the whole day off, its great being your own boss",0.6249,Positive,
"  poor you lmao, just stick your head out the window!",0.2714,Positive,
 etherreal WAS my main preoccupation. Now it`s EtherREAL`s preoccupation... humm... me ? schizophrenic ?,0,Neutral,
 dohh! is it old? I had never heard it.. I`m so last year..,0,Neutral,
 Instrumentalists like to give singers a hard time. But the vocalist`s job is the toughest when he/she is sick.,-0.6542,Negative,
Just got the Nashville IHOP staff to hit the Dougie with me and Mayne. What a **** night,0,Neutral,
I miss matt today,-0.1531,Negative,
"4 shifts down, 2 to go... then its my birthday!! but, should i be getting excited??? im turning 29 which means im almost 30",0.6398,Positive,
Feeling tempted by high volume of jeeps to start an 'acura wave'. Me too!,0.2003,Positive,
" Inorite, humid as well",0.2732,Positive,
Heading back home with a win!,0.6239,Positive,
my stomach hurts,-0.4767,Negative,
 good luck in the pressure test! don`t worry everything will be great,0.7345,Positive,
 I really wish I could,0.4576,Positive,
I`m very conflicted here.  I really like Mike but I still have feelings for Darrin.  It`s really complicated.  I don`t know what to do.,0.2255,Positive,
 i cant,0,Neutral,
" Yes, maybe, but for today, I write",0.2144,Positive,
 noticed that yesterday too...i`m actually really happy about that  #StarTrek,0.6115,Positive,
 ....back to a frizz head again,0,Neutral,
"Okay so yesterday was good went food shopping, cooked some chicken tacos and bakes some cookies!!!  Now I am back at work.",0.7131,Positive,
Looking at our photo shoot pics...check out our myspace pics to see them...i love them all...,0.4215,Positive,
i had walkathon this morning.  and i`m among the first who arrived at the finishing line!,0,Neutral,
"little beetle not feeling any love  Searches are bring up zilch, bar 2 peeps that appear funny !!!",-0.3507,Negative,
" Thank ye, Vaneta.  Much appreciated",0.7003,Positive,
 bitter?  why? *hug* ****,-0.4871,Negative,
went 2 see the hannah montana movie wiv jodie on friday and it was WELL GOOD but i feel nasty for laughing at the lil girl that cryed LOL,0.8143,Positive,
http://twitpic.com/67s14 - Saw a family of five get out of this motor home and into laundromat to clean clothes and bedding,0.4019,Positive,
 LOL Me too. Going out at 12am isn`t as easy as it used to be,0.7531,Positive,
 Quite a few. Peacocks and Oceanographer`s Choice are my new favorites to play,0.6369,Positive,
 yeahhh! u`ve got plenty of great fans!! And in Spain too! u should come and play a gig here!!,0.8257,Positive,
 I`m having lunch already  ur a lil late buddy!,0,Neutral,
ugh! nothing to do in the valley  Seriously gotta move out of here!!!,-0.6876,Negative,
"NO! Keyboard Cat is/has been dead for YEARS! Play yourself off, Keyboard Cat.",-0.7519,Negative,
 will do,0,Neutral,
 that was delicious! lets have a walk sometimes with you and your hubby.. and others! me misses you,0.5242,Positive,
 Sorry JJ i missed that post  I`ll make sure do so next time.,0.368,Positive,
"28deg C in here, all this tech in my room does have the major downside of a lot of heat, doesn`t help its hot outside 2",0.1779,Positive,
wow the last hour of twittering that I`ve been doing has yet to be sent over to twitter..  guys bare w me...,0.5859,Positive,
"Squabbling with people over the internet is great for my Tumblarity, but bad for my ego when they have more internet friends than me",0.3329,Positive,
 will do hun. Yes yes.,0.6597,Positive,
"_leigh Thank you,!  Just trying to stay in a positive head space to keep pushing through it all. How`s things at your end?",0.75,Positive,
Exam is commmmmiinnnnnggggggg !,0,Neutral,
"Enjoyed this week off work, back next week",0.5106,Positive,
 I`m come and try to find you and be your fan too,0.3182,Positive,
 hey i know ya dont know me but i wanted to say yopu have helped me a lot i was over in iraq and i wanted to thank you,0.5023,Positive,
Feeling very tierd! too much college work!!!!!!,0.3956,Positive,
mmm...reconsituted meat products and week-old veggies...gotta love that rehydrated warm milk for breakfast,0.7269,Positive,
 oh no  say it aint so,-0.296,Negative,
 i hope he does , join  and you`ll find one,0.6249,Positive
thank god for some overcast and ivory. Trying to get my mom to take me out to lunch egh doesnt look like its gonna work.,0.3591,Positive,
"  Cant Thank YOu Enough, WHo is NITIN BETWEEN?",-0.2755,Negative,
"  sadly we were too late for TraceyCakes, but we got them elsewhere- not the same but still yummy. Tea w wee on wknd!",0.6114,Positive,
 well piss on that. I can`t get into their site @ work nor does it come thru on my phone.,-0.1531,Negative,
http://twitpic.com/670ar - this is post guitar hero **** kicking,0.5574,Positive,
 i dont like #kde since ver. 4.0 its like vista  #fail,-0.4973,Negative,
Just woke up. Making breakfast,0,Neutral,
http://twitpic.com/67fue - My formerly pretty car,0.4939,Positive,
Just thought about my hubby being deployed n now I got the blues  I need a stiff drink but I`m breastfeeding so no booze for me :/ Ugh!!,-0.9039,Negative,
"I need some motivation in my life, oh and some love would be nice too",0.8555,Positive,
 welcome,0.4588,Positive,
"I can`t wait to start my weekend. I`m so sick of working, I have to self-medicate, and I`m fresh out of herb",-0.4481,Negative,
_Itx no credits for me unfortunately!,-0.3382,Negative,
" It`s ugly and gray outside even in San Diego. Not too cold, will get to 70, but May-gray June-gloom for us all",-0.2846,Negative,
 I so know what you mean,0,Neutral,
cookies are good,0.4404,Positive,
" He loved it, so Happy Birthday!!!   He said you sounded like a mixture of John Lennon, Chrissie Hynde, and Janis Joplin.",0.9056,Positive,
"_griffiths There was a good atmos. I decided to stay til closing, very funny!",0.7495,Positive,
  supporting superfly all the way,0.4404,Positive,
" I would lime them. Or lemon?  And deal, sounds fabulous to me!  Text me up when you`re back",0.5707,Positive,
Why don`t you make me feel like you used to,0.3612,Positive,
" how about we start with a true Franchise online mode. Dynasty was huge, Madden online league not so much",0.6249,Positive,
 im having trouble finding really yummy egg free ice-cream   #favoriteicecream - got any recommendations anyone?,0.6764,Positive,
on my tea break  cant wait to drive home tonite!!,0,Neutral,
is watching Mock the Week and is slowing cooking,-0.4215,Negative,
 unfortunately I didn`t leave the house in time,-0.3818,Negative,
Is twubbing again,0,Neutral,
when da heck will the garage man get here I ask you.. WHEN..,0,Neutral,
O.k i feel like i need to cry now  i can`t believe that in less than 2 years ill be walking across the stage to get a High School diploma!,-0.5312,Negative,
Just got a Ipod touch  Downloading apps for it now.,0,Neutral,
"Hey, hey, happy mother`s day!  http://plurk.com/p/svwii",0.6114,Positive,
 - ****. LOL ON FRIDAY.? ITS NOW SATURDAY HERE LOL. IM IN AUSTRALIA,0.7944,Positive,
_alfradique No fun   Well hopefully you don`t have much more to go...,0.7096,Positive,
Night all!! i`m trying to get to bed early for once...well as early as 1:40 can be for a normal person...,0,Neutral,
mothers day...love you madre   chels tonight. cant wait for her to see her present!,0,Neutral,
Conference call with HP.  They gave me an invalid pass code so I can`t attend,0,Neutral,
" it`s 3:37 am, i am going to sleep now. but i be back up in 4 hours...lol. good night",0.5927,Positive,
"What are some good places to eat in Los Angeles, want to try something different today",0.4939,Positive,
 FUZE was giving away capes at Komen`s Race for the Cure today! And I`d always love a hug from you hun!,0.8829,Positive,
I`m suppose to get up to go find sumthin to wear tomorrow but I can`t get up,0,Neutral,
my 3yo just woke and groggily walked over to my office.  Is now sleeping in my lap,0,Neutral,
The lab informs me the logic board is dead as well. It is farking expensive to replace. I don`t know what to do.  #MyPowerBookG4RIP,-0.4939,Negative,
We just hit 10000 views on myspace! Thanks everyone!,0.5399,Positive,
Still sick  bout to play some ps3 till the laker game starts,-0.2263,Negative,
it will be my second year that i will not be there,0,Neutral,
"Eatin dinna, herd tom brady not movin 2 fast",0,Neutral,
